"Boro/Central Library","Network","Branch","ADULT Program","ADULT Attendance","YOUNG ADULT Program","YOUNG ADULT Attendance","JUVENILE Program","JUVENILE Attendance","OUTREACH SERVICES Program","OUTREACH SERVICES Attendance"," TOTAL Program"," TOTAL Attendance"," REFERENCE TRANSACTIONS Adult"," REFERENCE TRANSACTIONS Young Adult"," REFERENCE TRANSACTIONS Juvenile"," REFERENCE TRANSACTIONS","CIRCULATION Adult","CIRCULATION Young Adult","CIRCULATION Juvenile","CIRCULATION","Weekly Hours of Public Service"
"Bronx","Bronx Library Center Network","Allerton","25","250","37","420","183","4,714","1","17","246","5,401","75,595","32,253","38,038","145,886","62,767","20,191","47,961","130,919","46"
"Bronx","Bronx Library Center Network","Belmont","226","2,795","186","2,166","352","6,792","62","740","826","12,493","96,980","93,028","94,263","284,271","61,924","14,614","42,140","118,678","46"
"Bronx","Bronx Library Center Network","Bronx  Library Center","449","15,179","201","4,324","379","13,069","303","8,151","1,332","40,723","254,384","78,494","173,134","506,012","354,231","75,239","184,508","613,978","78"
"Bronx","Bronx Library Center Network","Francis Martin","7","108","44","506","206","3,805","18","645","275","5,064","27,469","8,112","11,609","47,190","43,431","15,379","37,966","96,776","46"
"Bronx","Bronx Library Center Network","Grand Concourse","228","1,841","220","2,450","349","8,976","368","5,097","1,165","18,364","44,460","17,810","17,238","79,508","77,381","21,413","51,671","150,465","50"
"Bronx","Bronx Library Center Network","High Bridge","74","693","47","591","45","3,403","40","1,549","206","6,236","36,023","17,173","16,991","70,187","54,853","26,971","62,964","144,788","46"
"Bronx","Bronx Library Center Network","Jerome Park","94","424","106","1,828","117","2,321","7","91","324","4,664","11,479","7,462","7,566","26,507","48,450","15,534","38,205","102,189","46"
"Bronx","Bronx Library Center Network","Kingsbridge","15","661","82","1,066","147","2,862","117","2,189","361","6,778","24,661","5,694","6,825","37,180","96,645","20,455","45,262","162,362","46"
"Bronx","Bronx Library Center Network","Morrisania","84","660","186","4,341","316","5,881","99","2,202","685","13,084","52,780","15,327","33,787","101,894","49,208","16,005","36,447","101,660","46"
"Bronx","Bronx Library Center Network","Mosholu","119","1,259","132","1,456","198","5,709","59","1,739","508","10,163","47,619","18,499","16,302","82,420","100,420","27,057","106,836","234,313","46"
"Bronx","Bronx Library Center Network","Riverdale","109","906","45","413","212","3,980","17","118","383","5,417","16,978","4,654","3,835","25,467","72,512","10,117","55,779","138,408","46"
"Bronx","Bronx Library Center Network","Sedgwick","56","406","139","2,649","160","2,828","47","1,398","402","7,281","18,395","9,295","8,528","36,218","35,981","12,496","33,045","81,522","46"
"Bronx","Bronx Library Center Network","Spuyten Duyvil","68","874","11","503","179","3,924","1","42","259","5,343","24,193","3,510","5,070","32,773","135,638","13,578","90,154","239,370","46"
"Bronx","Bronx Library Center Network","Tremont","174","1,200","256","2,802","361","5,084","29","662","820","9,748","23,257","6,760","13,910","43,927","41,377","15,661","31,248","88,286","46"
"Bronx","Bronx Library Center Network","Van Cortlandt","17","149","24","201","133","2,137","2","44","176","2,531","33,605","7,423","9,009","50,037","50,460","11,677","24,228","86,365","46"
"Bronx","Bronx Library Center Network","Van Nest ","35","327","43","570","133","1,971","124","2,230","335","5,098","35,373","16,770","20,267","72,410","65,998","15,957","50,707","132,662","46"
"Bronx","Bronx Library Center Network","Woodlawn Heights","38","282","7","42","61","844","0","0","106","1,168","12,649","3,159","7,267","23,075","40,387","6,060","24,440","70,887","46"
"Bronx","Bronx Library Center Network","Subtotal:","1,818","28,014","1,766","26,328","3,531","78,300","1,294","26,914","8,409","159,556","835,900","345,423","483,639","1,664,962","1,391,663","338,404","963,561","2,693,628","818"
"Bronx","Parkchester Network","Parkchester Network",,,,,,,,,,,,,,,,,,,
"Bronx","Parkchester Network","Baychester","111","1,836","114","1,733","160","1,882","6","137","391","5,588","31,278","7,787","9,178","48,243","106,265","20,253","45,099","171,617","48"
"Bronx","Parkchester Network","Castle Hill","37","327","50","632","137","2,433","5","229","229","3,621","14,568","6,282","8,049","28,899","32,774","11,139","33,338","77,251","46"
"Bronx","Parkchester Network","City Island","110","990","162","869","158","2,781","26","804","456","5,444","21,190","5,265","14,937","41,392","27,667","3,169","13,927","44,763","44"
"Bronx","Parkchester Network","Clason's Point","246","2,085","307","4,426","239","6,150","255","11,370","1,047","24,031","70,538","44,538","55,705","170,781","54,993","16,834","71,248","143,075","48"
"Bronx","Parkchester Network","Eastchester","27","264","129","1,531","172","3,235","9","136","337","5,166","26,221","23,218","37,232","86,671","59,150","16,391","39,223","114,764","46"
"Bronx","Parkchester Network","Edenwald","62","375","57","1,156","167","3,905","70","890","356","6,326","13,728","11,232","9,347","34,307","56,939","19,447","47,325","123,711","46"
"Bronx","Parkchester Network","Hunt's Point","61","998","85","1,164","219","4,415","168","4,032","533","10,609","30,706","21,320","27,053","79,079","63,087","20,499","48,519","132,105","48"
"Bronx","Parkchester Network","Melrose","80","821","44","694","308","6,170","34","535","466","8,220","26,455","8,827","12,831","48,113","66,296","22,494","68,037","156,827","48"
"Bronx","Parkchester Network","Morris Park","142","1,980","152","2,022","228","3,397","79","2,561","601","9,960","61,945","20,215","25,116","107,276","69,446","17,572","69,906","156,924","48"
"Bronx","Parkchester Network","Mott Haven ","94","955","157","2,044","318","8,952","144","2,786","713","14,737","28,028","16,029","26,494","70,551","51,164","17,760","48,129","117,053","48"
"Bronx","Parkchester Network","Parkchester ","188","1,705","289","4,200","620","16,301","194","3,325","1,291","25,531","23,738","13,702","20,540","57,980","129,885","39,299","134,124","303,308","62"
"Bronx","Parkchester Network","Pelham Bay","70","399","88","1,593","260","5,567","5","59","423","7,618","36,023","10,439","10,608","57,070","70,993","17,308","49,439","137,740","46"
"Bronx","Parkchester Network","Soundview","209","2,247","119","2,314","545","9,849","40","1,333","913","15,743","35,815","20,098","24,817","80,730","49,336","19,222","47,820","116,378","46"
"Bronx","Parkchester Network","Throg's Neck","120","910","145","1,796","289","8,399","19","597","573","11,702","46,514","23,595","35,932","106,041","55,142","11,468","43,537","110,147","46"
"Bronx","Parkchester Network","Wakefield","99","2,180","177","2,380","330","4,468","80","2,061","686","11,089","80,314","28,145","27,079","135,538","58,124","17,138","45,095","120,357","46"
"Bronx","Parkchester Network","West Farms","135","913","129","1,268","133","3,112","92","983","489","6,276","10,465","3,666","4,095","18,226","21,461","8,599","12,945","43,005","46"
"Bronx","Parkchester Network","Westchester Square","78","437","198","2,153","294","5,398","183","2,639","753","10,627","19,370","8,138","10,595","38,103","43,227","13,086","55,036","111,349","46"
"Bronx","Parkchester Network","Woodstock","15","148","73","1,595","130","2,953","3","233","221","4,929","16,445","5,954","5,317","27,716","49,258","12,749","29,588","91,595","46"
"Bronx","Parkchester Network","Subtotal:","1,884","19,570","2,475","33,570","4,707","99,367","1,412","34,710","10,478","187,217","593,341","278,450","364,925","1,236,716","1,065,207","304,427","902,335","2,271,969","854"
"Bronx","Special Units","Bronx  Borough Office","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bronx","Special Units","Subtotal:","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bronx",,"BRONX TOTAL:","3,702","47,584","4,241","59,898","8,238","177,667","2,706","61,624","18,887","346,773","1,429,241","623,873","848,564","2,901,678","2,456,870","642,831","1,865,896","4,965,597","1,672"
