"Calendar Year","Object Identification Number","Oversight Agency","Operator Name","Status","Location Name","State","Borough","Postcode","Address Street","Full Location Address","Full Location Phone Number","Latitude","Longitude","Wireline Dwn","Wireline Up","WiFi Dwn","WiFi Up","Workstation Number","Target Population","Digital Literacy Support Staff","Mon Hours","Tue Hours","Wed Hours","Thu Hours","Fri Hours","Sat Hours","Sun Hours","Language Access","Wheelchair Accessible","Wheelchair Access Notes","Assistive Technology","Technology Related Courses","Productivity Tools (ex:  Using Word, Excel, Powerpoint, Adobe Acrobat, etc.)","Job Readiness (ex: resume help, job search, etc.)","Education (ex: personal growth, k-12 supports, reading research, etc.)","Creative Expression  (ex: making art, videos, blogs, websites, etc.)","Media and Entertainment (ex: consuming, producing, etc.)","Certifications (ex: in software, in housing, in professional areas, etc.)","Digital Literacy","Digital Media and Creativity","Telehealth Skills","Advanced Tech Skills","General Tech Help","Device Loaning","Device Loaned","Type of Device Available","Access Requirements","Access Notes","URL","Community District","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)","Location"
"2025","DFTAPCCARC297","NYC Aging","Arc Xvi Fort Washington Inc",,"AP Randolph Senior Center","NY","Manhattan","10039","108 West 146th Street, 10039, Manhattan, New York, USA","108 West 146th Street, 10039, Manhattan, New York, USA","(212) 281-1349","40.8212896","-73.9364039","642.6","33.5","323.1","36.5","10","Older Adults","N","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Closed","Closed","Spanish,Russian","Y","N.A.","Y","Y","Y","N","Y","N","Y","N","Y",,,,,"N",,"Desktops,Cameras,Microphones,Printers","N","N/A","http://www.arcseniors.org","110","9","1060189","1020140036","232","MN1002","POINT (-73.9364039 40.8212896)"
"2025","DFTAPCCJEW544","NYC Aging","Jewish Association For Services For The Aged",,"Club 76 Older Adult Center","NY","Manhattan","10023","120 West 76th Street, 10023, Manhattan, New York, USA","120 West 76th Street, 10023, Manhattan, New York, USA","(212) 712-0170","40.7803034","-73.978182","0","0","0","0","0","Older Adults","N","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","Closed","Closed","N/A","Y","N/A","Y","Y","N","N","Y","N","N","N","N",,,,,"Y",,"Laptops","Y","Age 60+","http://jasa.org","107","6","1030146","1011470042","161","MN0702","POINT (-73.97818199999999 40.7803034)"
"2025","DFTAPCCBAY803","NYC Aging","Bay Ridge Center Inc. D/B/A Bay Ridge Center",,"Bay Ridge Center","NY","Brooklyn","11220","15 Bay Ridge Avenue, 11220, Brooklyn, New York, USA","15 Bay Ridge Avenue, 11220, Brooklyn, New York, USA","(718)-748-0650","40.6387629","-74.0350614","43.7","33.1","169.9","46.9","14","Older Adults","Y","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","Closed","Closed","Spanish,Chinese","Y","Main entry","N","Y","Y","N","Y","N","N","N","Y",,,,,"Y",,"Desktops","Y","Age 60+","http://Www.bayridgecenter.org","310","47","3144947","3058590060","34","BK1001","POINT (-74.0350614 40.6387629)"
"2025","DYCDW119205","Department of Youth and Community Development (DYCD)","Department of Youth and Community Development (DYCD)",,"Dream Center Harlem","NY","Manhattan","10026","205 West 119th Street, 10026, Manhattan, New York, USA","205 West 119th Street, 10026, Manhattan, New York, USA","(212) 678-7039","40.805646","-73.951702","280.2","14.1","511.5","119.1","0","All NYC residents","Y","10am-4pm","10am-6pm","10am-8pm","10am—8pm","Varies","10am-1pm","Closed","N/A","Y","N/A","N","Y","Y","Y","Y","Y","N","N","Y",,,,,"Y",,"Laptops,Cameras","N","N/A","http://www.dreamcenterharlem.org","110","9","1088701","1019250025","220","MN1001","POINT (-73.951702 40.805646)"
"2025","DFTAPCCBOW279","NYC Aging","Bowery Residence Committee",,"BRC Older Adults Center","NY","Manhattan","10002","30 Delancey Street, 10002, Manhattan, New York, USA","30 Delancey Street, 10002, Manhattan, New York, USA","(212)-533-2020","40.7203881","-73.9922313","0","0","0","0","3","Older Adults","N","8:00 AM - 3:30 PM","8:00 AM - 3:30 PM","8:00 AM - 3:30 PM","8:00 AM - 3:30 PM","8:00 AM - 3:30 PM","Closed","Closed","Chinese","Y","N/A","N","Y","N","N","N","N","N","N","Y",,,,,"N",,"Desktops","Y","Age 60+","http://www.brc.org","103","1","1079081","1004200001","18","MN0302","POINT (-73.9922313 40.7203881)"
"2025","DFTAPCCACA612","NYC Aging","Jewish Association For Services For The Aged",,"Roy Reuther Older Adult Center","NY","Queens","11691","711 Seagirt Avenue, 11691, Queens, New York, USA","711 Seagirt Avenue, 11691, Queens, New York, USA","(718) 471-3110","40.5955007","-73.7422694","255","51","92.8","92.5","7","Older Adults","N","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","Closed","Closed","Spanish,Russian","Y","N/A","N","Y","Y","N","N","N","N","N","Y",,,,,"N",,"Desktops","Y","Age 60+","http://jasa.org","414","31","4298968","4156100001","101002","QN1401","POINT (-73.7422694 40.5955007)"
"2026","PARKS028","NYC Parks & Recreation","NYC Parks & Recreation","Temporarily closed","Sunset Park Recreation Center","NY","Brooklyn","11232","4200 7th Avenue, Brooklyn, 11232, NY","4200 7th Avenue, Brooklyn, 11232, NY","(718) 972-2135","40.6469348","-74.002121",,,,,,"All NYC Residents",,,,,,,,,"Interpreters available upon request","Y",,"Y","Y","N","N","N",,,"N",,"Y","N","N","N","N",,"Desktop computers",,,"https://www.nycgovparks.org/facilities/recreationcenters/B087","307","38","3337407","3009210001","86","BK0703","POINT (-74.002121 40.6469348)"
"2025","DYCDPCCTH814","Department of Youth and Community Development (DYCD)","The Child Center of New York (CCNY)",,"Ocean Bay Cornerstone  Community Center","NY","Queens","11692","57-10 Beach Channel Drive, 11692, Queens, New York, USA","57-10 Beach Channel Drive, 11692, Queens, New York, USA","(718) 577-5260","40.5950283","-73.7874769","0","0","25","0","N/A","All NYC residents","N","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Closed","Closed","N/A","N/A","N/A","N/A","Y","N","Y","Y","N","Y","N","Y",,,,,"N",,"Laptops","N/A","N/A","http://childcenterny.org","414","31","4436449","4160020001","97205","QN1402","POINT (-73.7874769 40.5950283)"
"2025","DFTAPCCKIP243","NYC Aging","Find Aid for the Aged, Inc.",,"Hamilton Older Adult Center","NY","Manhattan","10023","141 West 73rd Street, 10023, Manhattan, New York, USA","141 West 73rd Street, 10023, Manhattan, New York, USA","(212) 787-7710","40.7790046","-73.979766","1","7","1","7","N/A","Older Adults","Y","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Closed","Closed","N/A","N/A","N/A","N/A","Y","N","N","N","N","N","N","N",,,,,"N",,"N/A","Y","Age 60+","http://projectfind.org","107","6","1030011","1011450012","157","MN0701","POINT (-73.979766 40.7790046)"
"2025","BPL024","Brooklyn Public Library (BPL)","Brooklyn Public Library (BPL)",,"Flatbush Library","NY","Brooklyn","11226","22 Linden Blvd. at Flatbush Ave., 11226, Brooklyn, New York, USA","22 Linden Blvd. at Flatbush Ave., 11226, Brooklyn, New York, USA","(718) 856-0813","40.6519356","-73.9582445","101","15","100","100","22","All NYC residents","Y","10:00AM - 6:00PM","1:00PM - 8:00PM","10:00AM - 6:00PM","10:00AM - 8:00 PM","10:00AM - 6:00PM","10:00AM - 5:00 PM","Closed","All languages through Language Line","Y","N/A","Y","Y","N","Y","N","N","N","N","Y",,,,,"Y",,"Laptops,Desktops","N","N/A","http://bklynlibrary.org/locations/flatbush","314","40","3116706","3050860015","79602","BK1401","POINT (-73.95824449999999 40.6519356)"
