Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2025,All Students,9183,445,2398,26.1,2728,29.7,2670,29.1,1387,15.1,4057,44.2
BRONX,4,2025,All Students,9361,446,2452,26.2,2778,29.7,2574,27.5,1557,16.6,4131,44.1
BRONX,5,2025,All Students,9761,446,2548,26.1,2539,26.0,3177,32.5,1497,15.3,4674,47.9
BRONX,6,2025,All Students,9649,441,3018,31.3,2970,30.8,2543,26.4,1118,11.6,3661,37.9
BRONX,7,2025,All Students,10043,444,2905,28.9,2903,28.9,2814,28.0,1421,14.1,4235,42.2
BRONX,8,2025,All Students,10303,446,2361,22.9,3310,32.1,2934,28.5,1698,16.5,4632,45.0
BRONX,All Grades,2025,All Students,58300,445,15682,26.9,17228,29.6,16712,28.7,8678,14.9,25390,43.6
BRONX,3,2024,All Students,9479,437,3858,40.7,2765,29.2,2100,22.2,756,8.0,2856,30.1
BRONX,4,2024,All Students,9915,438,3743,37.8,2740,27.6,2295,23.1,1137,11.5,3432,34.6
BRONX,5,2024,All Students,10635,436,4388,41.3,3177,29.9,2417,22.7,653,6.1,3070,28.9
BRONX,6,2024,All Students,10269,437,4030,39.2,2976,29.0,2386,23.2,877,8.5,3263,31.8
BRONX,7,2024,All Students,10417,444,3019,29.0,2987,28.7,3029,29.1,1382,13.3,4411,42.3
BRONX,8,2024,All Students,11068,443,3174,28.7,3244,29.3,2954,26.7,1696,15.3,4650,42.0
BRONX,All Grades,2024,All Students,61783,439,22212,36.0,17889,29.0,15181,24.6,6501,10.5,21682,35.1
BRONX,3,2023,All Students,9820,437,4236,43.1,2546,25.9,2101,21.4,937,9.5,3038,30.9
BRONX,4,2023,All Students,10626,441,3369,31.7,3482,32.8,2648,24.9,1127,10.6,3775,35.5
BRONX,5,2023,All Students,11059,441,3676,33.2,3545,32.1,2907,26.3,931,8.4,3838,34.7
BRONX,6,2023,All Students,10386,439,3725,35.9,3274,31.5,2345,22.6,1042,10.0,3387,32.6
BRONX,7,2023,All Students,11081,442,3702,33.4,3184,28.7,2979,26.9,1216,11.0,4195,37.9
BRONX,8,2023,All Students,11591,448,2339,20.2,3580,30.9,3818,32.9,1854,16.0,5672,48.9
BRONX,All Grades,2023,All Students,64563,442,21047,32.6,19611,30.4,16798,26.0,7107,11.0,23905,37.0
BRONX,3,2022,All Students,10577,591,3341,31.6,4026,38.1,2869,27.1,341,3.2,3210,30.3
BRONX,4,2022,All Students,11200,587,4455,39.8,3912,34.9,1904,17.0,929,8.3,2833,25.3
