"Boro/Central Library","Network","Branch","ADULT Program","ADULT Attendance","YOUNG ADULT Program","YOUNG ADULT Attendance","JUVENILE Program","JUVENILE Attendance","OUTREACH SERVICES Program","OUTREACH SERVICES Attendance"," TOTAL Program"," TOTAL Attendance"," REFERENCE TRANSACTIONS Adult"," REFERENCE TRANSACTIONS Young Adult"," REFERENCE TRANSACTIONS Juvenile"," REFERENCE TRANSACTIONS","CIRCULATION Adult","CIRCULATION Young Adult","CIRCULATION Juvenile","CIRCULATION","Weekly Hours of Public Service"
"Manhattan","Countee Cullen Network","67th Street ","146","1,298","80","884","253","9,004","71","834","550","12,020","66,209","3,497","5,343","75,049","173,087","20,149","112,878","306,114","42"
"Manhattan","Countee Cullen Network","96th Street","154","2,466","90","1,710","276","8,470","28","706","548","13,352","71,448","19,591","9,503","100,542","228,111","39,402","105,718","373,231","50"
"Manhattan","Countee Cullen Network","115th Street ","53","497","75","1,036","142","5,382","12","708","282","7,623","14,924","3,471","6,903","25,298","77,833","16,783","65,517","160,133","42"
"Manhattan","Countee Cullen Network","125th Street","116","1,008","46","345","142","1,311","67","1,015","371","3,679","23,400","8,632","11,479","43,511","45,516","14,352","20,366","80,234","42"
"Manhattan","Countee Cullen Network","Aguilar","29","524","28","450","364","8,143","247","3,343","668","12,460","34,502","9,711","21,281","65,494","92,228","26,945","89,477","208,650","44"
"Manhattan","Countee Cullen Network","Bloomingdale","107","1,241","105","1,245","340","10,626","21","327","573","13,439","36,608","7,527","6,019","50,154","236,267","30,858","133,536","400,661","44"
"Manhattan","Countee Cullen Network","Countee Cullen","199","2,330","159","1,676","254","4,053","20","557","632","8,616","52,780","18,941","13,182","84,903","118,246","21,545","59,759","199,550","54"
"Manhattan","Countee Cullen Network","Fort Washington","97","1,387","124","1,544","336","8,990","158","2,911","715","14,832","29,211","9,113","13,767","52,091","170,872","37,962","110,765","319,599","44"
"Manhattan","Countee Cullen Network","George Bruce","81","833","94","1,432","208","3,607","42","1,058","425","6,930","327,119","256,360","282,750","866,229","67,313","14,443","38,463","120,219","42"
"Manhattan","Countee Cullen Network","Hamilton Grange","137","2,779","94","1,138","115","3,037","38","996","384","7,950","77,246","30,212","35,412","142,870","110,572","25,338","73,395","209,305","44"
"Manhattan","Countee Cullen Network","Harlem ","170","2,667","37","266","228","4,979","42","911","477","8,823","37,596","6,357","17,472","61,425","58,898","10,710","35,936","105,544","42"
