Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2025,All Students,9553,450,1624,17.0,3054,32.0,3586,37.5,1289,13.5,4875,51.0
BRONX,4,2025,All Students,9682,450,2436,25.2,2705,27.9,3335,34.4,1206,12.5,4541,46.9
BRONX,5,2025,All Students,10020,446,3166,31.6,2604,26.0,3112,31.1,1138,11.4,4250,42.4
BRONX,6,2025,All Students,9899,442,3530,35.7,2964,29.9,2729,27.6,676,6.8,3405,34.4
BRONX,7,2025,All Students,10194,448,2322,22.8,3382,33.2,2827,27.7,1663,16.3,4490,44.0
BRONX,8,2025,All Students,7507,444,3092,41.2,1358,18.1,2206,29.4,851,11.3,3057,40.7
BRONX,All Grades,2025,All Students,56855,447,16170,28.4,16067,28.3,17795,31.3,6823,12.0,24618,43.3
BRONX,3,2024,All Students,9946,444,2043,20.5,3804,38.2,3225,32.4,874,8.8,4099,41.2
BRONX,4,2024,All Students,10289,445,3350,32.6,2682,26.1,3118,30.3,1139,11.1,4257,41.4
BRONX,5,2024,All Students,10429,443,3954,37.9,2677,25.7,2787,26.7,1011,9.7,3798,36.4
BRONX,6,2024,All Students,10595,441,3863,36.5,3119,29.4,2931,27.7,682,6.4,3613,34.1
BRONX,7,2024,All Students,10667,448,2643,24.8,3386,31.7,3061,28.7,1577,14.8,4638,43.5
BRONX,8,2024,All Students,7941,441,3520,44.3,1638,20.6,2016,25.4,767,9.7,2783,35.0
BRONX,All Grades,2024,All Students,59867,444,19373,32.4,17306,28.9,17138,28.6,6050,10.1,23188,38.7
BRONX,3,2023,All Students,10211,443,2570,25.2,3767,36.9,2919,28.6,955,9.4,3874,37.9
BRONX,4,2023,All Students,11029,441,4225,38.3,3014,27.3,3015,27.3,775,7.0,3790,34.4
BRONX,5,2023,All Students,11392,441,4484,39.4,3107,27.3,2931,25.7,870,7.6,3801,33.4
BRONX,6,2023,All Students,10720,439,4568,42.6,2957,27.6,2571,24.0,624,5.8,3195,29.8
BRONX,7,2023,All Students,11249,443,3497,31.1,3786,33.7,2781,24.7,1185,10.5,3966,35.3
BRONX,8,2023,All Students,8659,440,4294,49.6,1537,17.8,2115,24.4,713,8.2,2828,32.7
BRONX,All Grades,2023,All Students,63260,441,23638,37.4,18168,28.7,16332,25.8,5122,8.1,21454,33.9
BRONX,3,2022,All Students,10874,587,4814,44.3,2897,26.6,2266,20.8,897,8.2,3163,29.1
BRONX,4,2022,All Students,11423,584,6032,52.8,2922,25.6,1520,13.3,949,8.3,2469,21.6
BRONX,5,2022,All Students,11487,586,6821,59.4,2437,21.2,1327,11.6,902,7.9,2229,19.4
BRONX,6,2022,All Students,11005,587,6501,59.1,2574,23.4,1212,11.0,718,6.5,1930,17.5
BRONX,7,2022,All Students,11359,590,5958,52.5,3176,28.0,1464,12.9,761,6.7,2225,19.6
BRONX,8,2022,All Students,9126,591,5308,58.2,2218,24.3,1006,11.0,594,6.5,1600,17.5
BRONX,All Grades,2022,All Students,65274,587,35434,54.3,16224,24.9,8795,13.5,4821,7.4,13616,20.9
BRONX,3,2019,All Students,14460,593,4947,34.2,4159,28.8,3611,25.0,1743,12.1,5354,37.0
BRONX,4,2019,All Students,15046,593,5365,35.7,4705,31.3,2957,19.7,2019,13.4,4976,33.1
BRONX,5,2019,All Students,14749,593,6843,46.4,3472,23.5,2526,17.1,1908,12.9,4434,30.1
BRONX,6,2019,All Students,14129,592,6490,45.9,3646,25.8,2545,18.0,1448,10.2,3993,28.3
BRONX,7,2019,All Students,14128,593,6473,45.8,4071,28.8,2207,15.6,1377,9.7,3584,25.4
BRONX,8,2019,All Students,12618,596,6044,47.9,3292,26.1,1911,15.1,1371,10.9,3282,26.0
BRONX,All Grades,2019,All Students,85130,593,36162,42.5,23345,27.4,15757,18.5,9866,11.6,25623,30.1
BRONX,3,2018,All Students,15182,592,5813,38.3,3954,26.0,3704,24.4,1711,11.3,5415,35.7
BRONX,4,2018,All Students,15090,591,6268,41.5,4376,29.0,2534,16.8,1912,12.7,4446,29.5
BRONX,5,2018,All Students,15208,591,7517,49.4,3781,24.9,2482,16.3,1428,9.4,3910,25.7
BRONX,6,2018,All Students,14167,590,6982,49.3,3882,27.4,2168,15.3,1135,8.0,3303,23.3
BRONX,7,2018,All Students,14383,591,7311,50.8,3829,26.6,2158,15.0,1085,7.5,3243,22.5
