"Branch","Address","phone","Latitude","Longitude","Hours (can be viewed via branch url)","City","Postcode","Borough","Community Board","Council District ","Census Tract","BIN","BBL","NTA","Point"
"Arverne","312 Beach 54 Street","(718) 634-4784","40.59","-73.78","https://www.queenslibrary.org/about-us/locations/arverne","Arverne","11692","QUEENS","414","31","97204","4301922","4158900018","QN1402","POINT (-73.78 40.59)"
"Bayside","214-20 Northern Boulevard","(718) 229-1834","40.76","-73.77","https://www.queenslibrary.org/about-us/locations/bayside","Bayside","11361","QUEENS","411","19","1471","4157389","4073330215","QN1102","POINT (-73.77 40.76)"
"Cambria Heights","218-13 Linden Boulevard","(718) 528-3535","40.7","-73.74","https://www.queenslibrary.org/about-us/locations/cambria-heights","Cambria Heights","11411","QUEENS","413","27","598","4536041","4113190001","QN1304","POINT (-73.74 40.7)"
"South Hollis","204-01 Hollis Avenue","(718) 465-6779","40.71","-73.75","https://www.queenslibrary.org/about-us/locations/south-hollis","South Hollis","11412","QUEENS","412","27","508","4442263","4109070030","QN1206","POINT (-73.75 40.71)"
"Ozone Park","92-24 Rockaway Boulevard","(718) 845-3127","40.68","-73.85","https://www.queenslibrary.org/about-us/locations/ozone-park","Ozone Park","11417","QUEENS","410","32","54","4189526","4091130030","QN1002","POINT (-73.85 40.68)"
"Glendale","78-60 73 Place","(718) 821-4980","40.7","-73.88","https://www.queenslibrary.org/about-us/locations/glendale","Glendale","11385","QUEENS","405","32","623","4090100","4036960047","QN0503","POINT (-73.88 40.7)"
"McGoldrick","155-06 Roosevelt Avenue","(718) 461-1616","40.76","-73.81","https://www.queenslibrary.org/about-us/locations/mcgoldrick","Flushing","11354","QUEENS","407","20","1171","4119345","4052750120","QN0704","POINT (-73.81 40.76)"
"Hillcrest","187-05 Union Turnpike","(718) 454-2786","40.73","-73.78","https://www.queenslibrary.org/about-us/locations/hillcrest","Flushing","11366","QUEENS","408","24","1333","4155032","4072040040","QN0803","POINT (-73.78 40.73)"
"Ridgewood","20-12 Madison Street","(718) 821-4770","40.71","-73.9","https://www.queenslibrary.org/about-us/locations/ridgewood","Ridgewood","11385","QUEENS","405","30","589","4083512","4034910001","QN0502","POINT (-73.9 40.71)"
"Douglaston","249-01 Northern Boulevard","(718) 225-8414","40.77","-73.74","https://www.queenslibrary.org/about-us/locations/douglaston","Little Neck","11363","QUEENS","411","19","1479","4169275","4081260087","QN1103","POINT (-73.74 40.77)"
"Flushing","41-17 Main Street","(718) 661-1200","40.76","-73.83","https://www.queenslibrary.org/about-us/locations/flushing","Flushing","11355","QUEENS","407","20","853","4114282","4050430011","QN0707","POINT (-73.83 40.76)"
"Queens Village","94-11 217 Street","(718) 776-6800","40.72","-73.74","https://www.queenslibrary.org/about-us/locations/queens-village","Queens Village","11428","QUEENS","413","23","566","4226761","4106210012","QN1303","POINT (-73.74 40.72)"
