"Boro/Central Library","Network","Branch","ADULT Program","ADULT Attendance","YOUNG ADULT Program","YOUNG ADULT Attendance","JUVENILE Program","JUVENILE Attendance","OUTREACH SERVICES Program","OUTREACH SERVICES Attendance"," TOTAL Program"," TOTAL Attendance"," REFERENCE TRANSACTIONS Adult"," REFERENCE TRANSACTIONS Young Adult"," REFERENCE TRANSACTIONS Juvenile"," REFERENCE TRANSACTIONS","CIRCULATION Adult","CIRCULATION Young Adult","CIRCULATION Juvenile","CIRCULATION","Weekly Hours of Public Service"
"Staten Island","Staten Island Network","Dongan Hills","66","1,323","82","1,005","165","4,105","167","8,935","480","15,368","19,396","6,318","10,764","36,478","68,168","13,544","70,811","152,523","42"
"Staten Island","Staten Island Network","Great Kills ","83","1,655","60","1,412","215","3,809","74","3,030","432","9,906","39,403","9,074","9,126","57,603","60,629","14,004","85,539","160,172","42"
"Staten Island","Staten Island Network","Huguenot Park","94","1,173","44","400","140","3,389","10","278","288","5,240","36,699","15,652","18,941","71,292","98,731","22,124","124,491","245,346","44"
"Staten Island","Staten Island Network","New Dorp","141","1,570","72","873","181","4,312","217","5,319","611","12,074","152,763","77,844","98,735","329,342","125,685","23,400","108,050","257,135","46"
"Staten Island","Staten Island Network","Port Richmond","35","543","109","1,130","177","5,298","138","1,957","459","8,928","18,811","6,422","8,840","34,073","43,650","11,198","35,952","90,800","46"
"Staten Island","Staten Island Network","Richmondtown","47","1,170","61","563","182","4,701","20","618","310","7,052","179,179","17,732","38,844","235,755","123,762","17,813","100,290","241,865","46"
"Staten Island","Staten Island Network","South Beach","59","929","44","287","212","5,003","57","3,392","372","9,611","29,809","8,684","20,982","59,475","59,069","13,752","66,888","139,709","42"
"Staten Island","Staten Island Network","St. George Library Center","112","1,299","365","2,862","207","3,604","368","3,801","1,052","11,566","63,089","18,005","19,461","100,555","167,522","25,978","75,200","268,700","62"
"Staten Island","Staten Island Network","Stapleton*  * Closed for major renovation - effective 4/15/10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","32","141","343","0"
"Staten Island","Staten Island Network","Todt-Hill Westerleigh","57","458","35","507","147","3,257","52","1,664","291","5,886","82,589","23,517","22,516","128,622","258,937","53,328","295,016","607,281","50"
"Staten Island","Staten Island Network","Tottenville","50","754","99","1,590","207","4,580","73","2,226","429","9,150","18,798","8,138","10,205","37,141","42,777","11,163","69,211","123,151","43"
"Staten Island","Staten Island Network","West New Brighton","58","1,007","14","117","108","2,305","28","303","208","3,732","35,477","26,910","27,339","89,726","78,945","17,206","62,037","158,188","43"
"Staten Island","Staten Island Network","Subtotal:","802","11,881","985","10,746","1,941","44,363","1,204","31,523","4,932","98,513","676,013","218,296","285,753","1,180,062","1,128,045","223,542","1,093,626","2,445,213","506"
"Staten Island","Special Units","Staten Island Borough Office","0","0","0","0","0","0","2","89","2","89","0","0","0","0","0","0","0","0","0"
"Staten Island","Special Units","Subtotal:","0","0","0","0","0","0","2","89","2","89","0","0","0","0","0","0","0","0","0"
"Staten Island",,"STATEN ISLAND TOTAL:","802","11,881","985","10,746","1,941","44,363","1,206","31,612","4,934","98,602","676,013","218,296","285,753","1,180,062","1,128,045","223,542","1,093,626","2,445,213","506"
